Hit,Stand,Split,Swap
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,-0.1,0.0,0.0
-0.29209950100000004,-0.29701,-2.0,-2.0
-1.3125418723102174,-1.3125418723102174,-2.0,-2.0
-0.6662467392236857,-0.6793465209301001,-2.0,-2.0
7.529492102175997,0.0,0.0,0.6464562075107674
